epoch,relay_cpu_ticks,relay_rss_kb,relay_thr,relay_fd,box_total,box_idle,tx_bytes,tx_packets,rx_bytes,bw_out_exc,bw_in_exc,pps_exc,conntrack_exc,udp_socks
1788863173,5,18504,3,11,97088938,76945289,61554912741,51077094,2913840929,0,0,0,0,1
1788863174,5,18504,3,11,97089134,76945456,61554912741,51077094,2913840929,0,0,0,0,1
1788863175,5,18504,3,11,97089330,76945623,61554912741,51077094,2913840929,0,0,0,0,1
1788863176,5,18504,3,11,97089527,76945790,61554912741,51077094,2913840929,0,0,0,0,1
1788863177,5,18504,3,11,97089725,76945958,61554912741,51077094,2913840929,0,0,0,0,1
1788863178,5,18504,3,11,97089923,76946126,61554912741,51077094,2913840929,0,0,0,0,1
1788863179,5,18504,3,11,97090122,76946294,61554912741,51077094,2913840929,0,0,0,0,1
1788863180,5,18504,3,11,97090321,76946461,61554913647,51077101,2913841389,0,0,0,0,1
1788863181,5,18504,3,11,97090518,76946628,61554913647,51077101,2913841389,0,0,0,0,1
1788863182,5,18504,3,11,97090714,76946795,61554913647,51077101,2913841389,0,0,0,0,1
1788863183,5,18504,3,11,97090910,76946961,61554913689,51077102,2913841417,0,0,0,0,1
1788863184,5,18504,3,11,97091105,76947127,61554913779,51077103,2913841493,0,0,0,0,1
1788863185,5,18504,3,11,97091304,76947296,61554913779,51077103,2913841493,0,0,0,0,1
1788863186,5,23576,3,11,97091501,76947462,61554917612,51077116,2913846328,0,0,0,0,1
1788863187,5,23576,3,11,97091697,76947629,61554917612,51077116,2913846328,0,0,0,0,1
1788863188,5,23576,3,11,97091895,76947796,61554917612,51077116,2913846328,0,0,0,0,1
1788863189,5,23576,3,11,97092092,76947963,61554917612,51077116,2913846328,0,0,0,0,1
1788863190,5,23576,3,11,97092292,76948131,61554917612,51077116,2913846328,0,0,0,0,1
1788863191,5,23576,3,11,97092489,76948297,61554917843,51077119,2913846512,0,0,0,0,1
1788863192,5,23576,3,11,97092685,76948463,61554917843,51077119,2913846512,0,0,0,0,1
1788863193,5,23576,3,11,97092883,76948630,61554917920,51077120,2913846580,0,0,0,0,1
1788863194,13,28892,3,11,97093077,76948787,61557475141,51079709,2916444588,0,0,0,0,1
1788863195,16,30356,3,11,97093275,76948951,61558784911,51080878,2917670703,0,0,0,0,1
1788863196,19,31540,3,11,97093469,76949113,61560085554,51082123,2918952830,0,0,0,0,1
1788863197,22,32820,3,11,97093667,76949275,61561377162,51083375,2920227098,0,0,0,0,1
1788863198,26,34160,3,11,97093861,76949437,61562684134,51084642,2921515782,0,0,0,0,1
1788863200,29,35288,3,11,97094059,76949599,61563773336,51085926,2922806122,0,0,0,0,1
1788863201,33,36768,3,11,97094255,76949762,61565254173,51087154,2924049500,0,0,0,0,1
1788863202,35,38144,3,11,97094457,76949925,61566564016,51088419,2925342166,0,0,0,0,1
1788863203,39,39404,3,11,97094655,76950088,61567865389,51089690,2926634115,0,0,0,0,1
1788863204,41,40700,3,11,97094851,76950250,61569159005,51090932,2927903237,0,0,0,0,1
1788863205,44,42044,3,11,97095047,76950412,61570452101,51092199,2929178176,0,0,0,0,1
1788863206,47,43284,3,11,97095243,76950575,61571710281,51093407,2930419413,0,0,0,0,1
1788863207,50,44660,3,11,97095440,76950740,61573040394,51094670,2931733018,0,0,0,0,1
1788863208,53,45896,3,11,97095637,76950904,61574271957,51095890,2932947966,0,0,0,0,1
1788863209,56,47312,3,11,97095837,76951068,61575636982,51097186,2934305531,0,0,0,0,1
1788863210,59,48612,3,11,97096033,76951231,61576917568,51098401,2935560544,0,0,0,0,1
1788863211,63,49908,3,11,97096230,76951394,61578218291,51099657,2936843682,0,0,0,0,1
1788863212,65,51160,3,11,97096429,76951558,61579466509,51100839,2938075975,0,0,0,0,1
1788863213,68,52532,3,11,97096626,76951721,61580811202,51102106,2939402975,0,0,0,0,1
1788863214,71,53812,3,11,97096823,76951884,61582102467,51103368,2940698594,0,0,0,0,1
1788863215,75,55120,3,11,97097020,76952046,61583393969,51104641,2941949907,0,0,0,0,1
1788863216,77,56452,3,11,97097217,76952210,61584711414,51105882,2943252151,0,0,0,0,1
1788863217,80,57776,3,11,97097416,76952374,61585972094,51107106,2944496053,0,0,0,0,1
1788863218,83,59056,3,11,97097612,76952537,61587285509,51108380,2945792935,0,0,0,0,1
1788863219,86,60348,3,11,97097809,76952700,61588528996,51109565,2947075877,0,0,0,0,1
1788863220,88,61724,3,11,97098006,76952862,61589851004,51110837,2948325465,0,0,0,0,1
1788863221,91,62904,3,11,97098201,76953025,61591035677,51111962,2949494519,0,0,0,0,1
1788863222,94,64300,3,11,97098398,76953190,61592438791,51113299,2950879440,0,0,0,0,1
1788863223,97,65596,3,11,97098596,76953353,61593753756,51114576,2952178150,0,0,0,0,1
1788863224,100,66984,3,11,97098793,76953515,61595029526,51115792,2953445185,0,0,0,0,1
1788863226,103,68240,3,11,97098990,76953678,61596323953,51117044,2954715245,0,0,0,0,1
1788863227,106,68956,3,11,97099187,76953842,61597611120,51118255,2955986635,0,0,0,0,1
1788863228,108,69240,3,11,97099386,76954007,61598903628,51119474,2957263355,0,0,0,0,1
1788863229,110,69452,3,11,97099587,76954171,61600186836,51120673,2958529587,0,0,0,0,1
1788863230,113,69596,3,11,97099783,76954335,61601458189,51121863,2959785380,0,0,0,0,1
1788863231,116,70568,3,11,97099979,76954498,61602766524,51123092,2961077526,0,0,0,0,1
1788863232,118,71580,3,11,97100173,76954661,61603967518,51124227,2962262367,0,0,0,0,1
1788863233,121,72860,3,11,97100368,76954824,61605371813,51125560,2963649161,0,0,0,0,1
1788863234,123,73992,3,11,97100564,76954987,61606630589,51126741,2964892596,0,0,0,0,1
1788863235,126,75172,3,11,97100760,76955152,61607913617,51127963,2966159280,0,0,0,0,1
1788863236,129,76312,3,11,97100958,76955317,61609196439,51129157,2967426853,0,0,0,0,1
1788863237,132,76756,3,11,97101155,76955481,61610487121,51130384,2968701888,0,0,0,0,1
1788863238,134,76756,3,11,97101352,76955644,61611804320,51131606,2970002298,0,0,0,0,1
1788863239,137,77144,3,11,97101547,76955807,61613070825,51132802,2971252796,0,0,0,0,1
1788863240,139,77444,3,11,97101744,76955970,61614398587,51134050,2972563735,0,0,0,0,1
1788863241,142,77576,3,11,97101939,76956133,61615660492,51135251,2973809417,0,0,0,0,1
1788863242,144,77720,3,11,97102136,76956295,61616818064,51136355,2974952249,0,0,0,0,1
1788863243,147,78712,3,11,97102334,76956460,61618276145,51137715,2976392896,0,0,0,0,1
1788863244,150,79660,3,11,97102535,76956626,61619427150,51138804,2977677936,0,0,0,0,1
1788863245,153,80940,3,11,97102731,76956790,61620845316,51140143,2978951306,0,0,0,0,1
1788863246,155,82056,3,11,97102927,76956953,61622077851,51141296,2980147879,0,0,0,0,1
1788863247,158,83260,3,11,97103124,76957117,61623394747,51142534,2981447721,0,0,0,0,1
1788863248,161,84276,3,11,97103318,76957279,61624704269,51143783,2982754650,0,0,0,0,1
1788863249,163,85188,3,11,97103517,76957444,61625998883,51144994,2984018909,0,0,0,0,1
1788863250,167,85188,3,11,97103715,76957609,61627227383,51146167,2985231593,0,0,0,0,1
1788863251,169,85188,3,11,97103910,76957772,61628577677,51147411,2986565344,0,0,0,0,1
1788863253,172,85196,3,11,97104107,76957936,61629850978,51148610,2987822144,0,0,0,0,1
1788863254,174,85196,3,11,97104303,76958099,61631013467,51149703,2988977596,0,0,0,0,1
1788863255,177,85196,3,11,97104500,76958264,61632459583,51151050,2990398863,0,0,0,0,1
1788863256,180,85196,3,11,97104698,76958428,61633772942,51152316,2991712274,0,0,0,0,1
1788863257,182,85196,3,11,97104896,76958590,61635062513,51153526,2992969043,0,0,0,0,1
1788863258,185,85196,3,11,97105091,76958753,61636368483,51154763,2994258637,0,0,0,0,1
1788863259,188,85212,3,11,97105287,76958916,61637593370,51155933,2995468791,0,0,0,0,1
1788863260,191,85212,3,11,97105488,76959080,61638897404,51157182,2996755202,0,0,0,0,1
1788863261,193,85212,3,11,97105683,76959243,61640172800,51158388,2998015837,0,0,0,0,1
1788863262,196,85212,3,11,97105881,76959406,61641512914,51159654,2999365509,0,0,0,0,1
1788863263,199,85212,3,11,97106076,76959568,61642809451,51160874,3000620503,0,0,0,0,1
1788863264,201,85220,3,11,97106275,76959732,61644019231,51162049,3001814882,0,0,0,0,1
1788863265,204,85220,3,11,97106472,76959896,61645392159,51163327,3003171447,0,0,0,0,1
1788863266,207,85220,3,11,97106669,76960060,61646689631,51164551,3004453462,0,0,0,0,1
1788863267,210,85680,3,11,97106866,76960222,61648000344,51165842,3005754443,0,0,0,0,1
1788863268,213,85744,3,11,97107061,76960385,61649204287,51166996,3006935121,0,0,0,0,1
1788863269,216,85812,3,11,97107257,76960548,61650582731,51168280,3008297014,0,0,0,0,1
1788863270,219,85820,3,11,97107455,76960711,61651878290,51169527,3009575652,0,0,0,0,1
1788863271,221,85820,3,11,97107652,76960876,61653183157,51170770,3010881009,0,0,0,0,1
1788863272,225,85820,3,11,97107848,76961039,61654453509,51171986,3012118282,0,0,0,0,1
1788863273,227,85820,3,11,97108044,76961202,61655777952,51173267,3013432632,0,0,0,0,1
1788863274,230,85820,3,11,97108238,76961364,61657046230,51174471,3014678620,0,0,0,0,1
1788863275,232,85820,3,11,97108435,76961528,61658319574,51175662,3015936007,0,0,0,0,1
1788863276,235,85828,3,11,97108631,76961692,61659633145,51176857,3017233895,0,0,0,0,1
1788863277,237,85828,3,11,97108829,76961857,61660903218,51178040,3018487553,0,0,0,0,1
1788863278,240,85828,3,11,97109028,76962022,61662243189,51179280,3019812241,0,0,0,0,1
1788863280,243,85828,3,11,97109225,76962186,61663446564,51180413,3021000904,0,0,0,0,1
1788863281,245,85828,3,11,97109421,76962349,61664647604,51181536,3022188051,0,0,0,0,1
1788863282,248,85828,3,11,97109617,76962512,61665992400,51182781,3023516192,0,0,0,0,1
1788863283,251,85840,3,11,97109813,76962675,61667385210,51184064,3024897962,0,0,0,0,1
1788863284,253,85840,3,11,97110010,76962838,61668572215,51185189,3026064944,0,0,0,0,1
1788863285,263,92592,3,11,97110208,76962994,61678939092,51193953,3027630112,0,0,0,0,1
1788863286,282,100252,3,11,97110407,76963140,61698669741,51210489,3029053586,0,0,0,0,1
1788863287,306,108120,3,11,97110603,76963280,61728324874,51235604,3030655137,0,0,0,0,1
1788863288,334,112624,3,11,97110798,76963417,61759632595,51262573,3032123171,0,0,0,0,1
1788863289,358,112628,3,11,97110998,76963558,61794341334,51292174,3033733466,0,0,0,0,1
1788863290,382,112632,3,11,97111198,76963701,61826177335,51319208,3035216837,0,0,0,0,1
1788863291,405,112632,3,11,97111395,76963844,61858191234,51346655,3036713888,0,0,0,0,1
1788863292,430,112632,3,11,97111591,76963985,61890235473,51373841,3038189087,0,0,0,0,1
1788863293,453,112632,3,11,97111791,76964130,61919756463,51399060,3039554656,0,0,0,0,1
1788863294,477,112636,3,11,97111988,76964271,61954689109,51428786,3041177681,0,0,0,0,1
1788863295,503,112636,3,11,97112185,76964412,61986639231,51456296,3042697101,0,0,0,0,1
1788863296,528,113088,3,11,97112381,76964553,62019404537,51484222,3044230820,0,0,0,0,1
1788863297,552,114208,3,11,97112580,76964694,62051627996,51512072,3045754794,0,0,0,0,1
1788863298,580,114208,3,11,97112779,76964835,62083828071,51540402,3047307373,0,0,0,0,1
1788863299,605,114208,3,11,97112978,76964974,62116290453,51568195,3048829009,0,0,0,0,1
1788863300,628,114212,3,11,97113174,76965116,62148603398,51595265,3050304665,0,0,0,0,1
1788863301,650,114212,3,11,97113370,76965260,62177772040,51620023,3051666739,0,0,0,0,1
1788863302,675,114212,3,11,97113565,76965401,62212595753,51649769,3053313595,0,0,0,0,1
1788863304,702,114212,3,11,97113766,76965543,62245079264,51677906,3054860973,0,0,0,0,1
1788863305,727,114212,3,11,97113968,76965685,62277110654,51705461,3056373473,0,0,0,0,1
1788863306,753,114212,3,11,97114164,76965824,62308894524,51733096,3057933561,0,0,0,0,1
1788863307,781,114444,3,11,97114361,76965960,62341372518,51760757,3059459205,0,0,0,0,1
1788863308,804,115652,3,11,97114557,76966101,62370511022,51785741,3060845449,0,0,0,0,1
1788863309,831,116816,3,11,97114758,76966243,62406097605,51815866,3062507976,0,0,0,0,1
1788863310,856,117992,3,11,97114959,76966384,62436861940,51842258,3063947517,0,0,0,0,1
1788863311,878,118732,3,11,97115158,76966529,62469886726,51870151,3065489305,0,0,0,0,1
1788863312,902,118800,3,11,97115354,76966672,62501287494,51896740,3066942532,0,0,0,0,1
1788863313,924,119024,3,11,97115552,76966815,62529777330,51920904,3068284544,0,0,0,0,1
1788863314,949,119024,3,11,97115747,76966956,62562575103,51948787,3069829803,0,0,0,0,1
1788863315,974,119024,3,11,97115943,76967094,62597143071,51978149,3071464800,0,0,0,0,1
1788863316,999,119024,3,11,97116142,76967239,62631264280,52006993,3073092472,0,0,0,0,1
1788863317,1023,119300,3,11,97116342,76967382,62663738180,52034520,3074616924,0,0,0,0,1
1788863318,1045,119300,3,11,97116540,76967524,62693298442,52059380,3076026761,0,0,0,0,1
1788863319,1069,119584,3,11,97116736,76967666,62727110749,52087915,3077607763,0,0,0,0,1
1788863320,1094,119860,3,11,97116931,76967809,62759751437,52115610,3079140921,0,0,0,0,1
1788863321,1118,119860,3,11,97117132,76967952,62791854001,52143152,3080685465,0,0,0,0,1
1788863322,1142,119860,3,11,97117329,76968092,62824306686,52170837,3082192392,0,0,0,0,1
1788863323,1169,119860,3,11,97117527,76968232,62856505976,52198423,3083729980,0,0,0,0,1
1788863324,1195,119860,3,11,97117726,76968374,62888941099,52226406,3085263593,0,0,0,0,1
1788863325,1221,119860,3,11,97117924,76968515,62921414696,52254329,3086809533,0,0,0,0,1
1788863327,1247,119860,3,11,97118120,76968654,62953232500,52281782,3088319264,0,0,0,0,1
1788863328,1271,119860,3,11,97118315,76968795,62984705044,52309516,3089858064,0,0,0,0,1
1788863329,1296,119860,3,11,97118515,76968938,63017241470,52336601,3091357165,0,0,0,0,1
1788863330,1320,119860,3,11,97118713,76969080,63049788640,52364107,3092889008,0,0,0,0,1
1788863331,1341,119860,3,11,97118911,76969223,63078361348,52390714,3094377323,0,0,0,0,1
1788863332,1367,119860,3,11,97119110,76969367,63114176820,52418763,3095876744,0,0,0,0,1
1788863333,1389,119860,3,11,97119309,76969509,63144492247,52444513,3097295326,0,0,0,0,1
1788863334,1415,119860,3,11,97119505,76969649,63177193575,52472609,3098846862,0,0,0,0,1
1788863335,1441,119860,3,11,97119704,76969791,63211419097,52501980,3100447979,0,0,0,0,1
1788863336,1467,119860,3,11,97119902,76969932,63242640953,52528718,3101944913,0,0,0,0,1
1788863337,1491,119860,3,11,97120100,76970073,63273474978,52555134,3103404599,0,0,0,0,1
1788863338,1516,119860,3,11,97120296,76970214,63303950852,52581226,3105008569,0,0,0,0,1
1788863339,1539,119860,3,11,97120495,76970357,63339814335,52611820,3106544109,0,0,0,0,1
1788863340,1561,119860,3,11,97120693,76970503,63370985047,52637715,3107977037,0,0,0,0,1
1788863341,1585,119860,3,11,97120893,76970647,63403055004,52664706,3109469297,0,0,0,0,1
1788863342,1606,119860,3,11,97121090,76970792,63432596401,52689969,3111016272,0,0,0,0,1
1788863343,1632,119860,3,11,97121290,76970935,63468509403,52719941,3112537172,0,0,0,0,1
1788863344,1657,119860,3,11,97121486,76971077,63500652057,52747776,3114067207,0,0,0,0,1
1788863345,1679,119860,3,11,97121684,76971221,63532813981,52774522,3115559151,0,0,0,0,1
1788863346,1704,119860,3,11,97121884,76971362,63564685179,52801622,3117060905,0,0,0,0,1
1788863347,1726,119860,3,11,97122082,76971507,63596164814,52828019,3118524412,0,0,0,0,1
1788863348,1750,120092,3,11,97122279,76971649,63627645939,52854667,3120002354,0,0,0,0,1
1788863349,1772,120092,3,11,97122475,76971791,63661257580,52883514,3121593097,0,0,0,0,1
1788863351,1798,120092,3,11,97122674,76971935,63693526546,52910349,3123132093,0,0,0,0,1
1788863352,1821,120092,3,11,97122872,76972080,63722468414,52934976,3124466261,0,0,0,0,1
1788863353,1845,120356,3,11,97123068,76972222,63758824256,52966030,3126185297,0,0,0,0,1
1788863354,1867,120356,3,11,97123267,76972367,63787436416,52989930,3127508196,0,0,0,0,1
1788863355,1891,120356,3,11,97123467,76972510,63821873928,53018900,3129120386,0,0,0,0,1
1788863356,1915,120356,3,11,97123664,76972653,63855381815,53047117,3130706633,0,0,0,0,1
1788863357,1940,120356,3,11,97123864,76972794,63885289107,53072606,3132119158,0,0,0,0,1
1788863358,1964,120356,3,11,97124058,76972935,63918198134,53100386,3133658970,0,0,0,0,1
1788863359,1989,120356,3,11,97124256,76973076,63951829938,53128960,3135253457,0,0,0,0,1
1788863360,2014,120356,3,11,97124456,76973217,63981074232,53154201,3136633537,0,0,0,0,1
1788863361,2041,120356,3,11,97124652,76973355,64016029514,53184068,3138263176,0,0,0,0,1
1788863362,2065,120356,3,11,97124849,76973496,64048644487,53211934,3139794684,0,0,0,0,1
1788863363,2093,120356,3,11,97125048,76973636,64081249690,53239982,3141357804,0,0,0,0,1
1788863364,2117,120356,3,11,97125246,76973777,64111653310,53266033,3142848573,0,0,0,0,1
1788863365,2144,120356,3,11,97125443,76973916,64144731577,53294753,3144391148,0,0,0,0,1
1788863366,2170,120356,3,11,97125639,76974055,64177268090,53322321,3145908459,0,0,0,0,1
1788863367,2196,120356,3,11,97125838,76974196,64208841444,53349381,3147406383,0,0,0,0,1
1788863368,2220,120356,3,11,97126039,76974339,64239997093,53375849,3148886002,0,0,0,0,1
1788863369,2245,120516,3,11,97126235,76974479,64273013096,53403724,3150446523,0,0,0,0,1
1788863370,2269,120968,3,11,97126432,76974623,64306550715,53432141,3152008710,0,0,0,0,1
1788863371,2289,120968,3,11,97126631,76974769,64335411147,53456640,3153353467,0,0,0,0,1
1788863372,2312,120968,3,11,97126829,76974913,64363806015,53480682,3154688917,0,0,0,0,1
1788863374,2337,120968,3,11,97127025,76975053,64402972635,53513701,3156504050,0,0,0,0,1
1788863375,2363,120968,3,11,97127220,76975192,64433415579,53539858,3157944786,0,0,0,0,1
1788863376,2388,120968,3,11,97127416,76975331,64466665023,53568107,3159513885,0,0,0,0,1
1788863377,2415,120968,3,11,97127617,76975472,64499926164,53596791,3161118635,0,0,0,0,1
1788863378,2440,120968,3,11,97127813,76975612,64530011021,53622470,3162555525,0,0,0,0,1
1788863379,2475,128900,3,11,97128012,76975744,64574188909,53660418,3164335320,0,0,0,0,1
1788863380,2515,135556,3,11,97128210,76975869,64624467566,53702861,3165989057,0,0,0,0,1
1788863381,2560,144668,3,11,97128406,76975988,64685215184,53754547,3167797209,0,0,0,0,1
1788863382,2611,151032,3,11,97128605,76976104,64747517442,53807836,3169529523,0,0,0,0,1
1788863383,2656,151180,3,11,97128804,76976228,64814974134,53865754,3171324738,0,0,0,0,1
1788863384,2701,151180,3,11,97129003,76976351,64875384367,53917045,3172942275,0,0,0,0,1
1788863385,2743,151180,3,11,97129201,76976474,64944041878,53974758,3174732087,0,0,0,0,1
1788863386,2790,152076,3,11,97129399,76976595,65006977586,54028602,3176439763,0,0,0,0,1
1788863387,2836,152076,3,11,97129597,76976714,65069344813,54082122,3178134849,0,0,0,0,1
1788863388,2885,152076,3,11,97129798,76976833,65137348950,54140081,3179975367,0,0,0,0,1
1788863389,2930,152076,3,11,97129998,76976955,65201185693,54194208,3181704655,0,0,0,0,1
1788863390,2973,152076,3,11,97130201,76977079,65267425706,54250078,3183470118,0,0,0,0,1
1788863391,3020,152076,3,11,97130402,76977198,65333649716,54306234,3185244797,0,0,0,0,1
1788863392,3067,152076,3,11,97130598,76977318,65395982936,54359550,3186918454,0,0,0,0,1
1788863393,3113,152076,3,11,97130795,76977438,65462643797,54416383,3188692391,0,0,0,0,1
