epoch,relay_cpu_ticks,relay_rss_kb,relay_thr,relay_fd,box_total,box_idle,tx_bytes,tx_packets,rx_bytes,bw_out_exc,bw_in_exc,pps_exc,conntrack_exc,udp_socks
1788862267,4,18828,3,11,96915460,76838715,22045846473,18258366,1676107795,0,0,0,0,1
1788862268,4,18828,3,11,96915658,76838883,22045846473,18258366,1676107795,0,0,0,0,1
1788862269,4,18828,3,11,96915854,76839050,22045846473,18258366,1676107795,0,0,0,0,1
1788862270,4,18828,3,11,96916051,76839217,22045846473,18258366,1676107795,0,0,0,0,1
1788862271,4,18828,3,11,96916246,76839384,22045846473,18258366,1676107795,0,0,0,0,1
1788862272,4,18828,3,11,96916442,76839551,22045846473,18258366,1676107795,0,0,0,0,1
1788862273,4,18828,3,11,96916638,76839718,22045846473,18258366,1676107795,0,0,0,0,1
1788862274,4,18828,3,11,96916838,76839886,22045847181,18258372,1676108203,0,0,0,0,1
1788862275,4,18828,3,11,96917035,76840053,22045847181,18258372,1676108203,0,0,0,0,1
1788862276,4,18828,3,11,96917232,76840219,22045847181,18258372,1676108203,0,0,0,0,1
1788862277,4,18828,3,11,96917428,76840385,22045847271,18258373,1676108279,0,0,0,0,1
1788862278,4,18828,3,11,96917624,76840551,22045847271,18258373,1676108279,0,0,0,0,1
1788862280,4,18828,3,11,96917820,76840717,22045847271,18258373,1676108279,0,0,0,0,1
1788862281,4,18828,3,11,96918018,76840885,22045847271,18258373,1676108279,0,0,0,0,1
1788862282,4,23608,3,11,96918216,76841052,22045850945,18258384,1676112988,0,0,0,0,1
1788862283,4,23608,3,11,96918411,76841219,22045850945,18258384,1676112988,0,0,0,0,1
1788862284,5,23608,3,11,96918608,76841386,22045850945,18258384,1676112988,0,0,0,0,1
1788862285,5,23608,3,11,96918804,76841553,22045850945,18258384,1676112988,0,0,0,0,1
1788862286,5,23608,3,11,96919002,76841722,22045850945,18258384,1676112988,0,0,0,0,1
1788862287,5,23608,3,11,96919200,76841890,22045851094,18258386,1676113109,0,0,0,0,1
1788862288,5,23608,3,11,96919398,76842057,22045851094,18258386,1676113109,0,0,0,0,1
1788862289,7,26604,3,11,96919596,76842222,22046345450,18258968,1676599742,0,0,0,0,1
1788862290,12,28092,3,11,96919791,76842384,22047676631,18260297,1677913066,0,0,0,0,1
1788862291,15,29452,3,11,96919991,76842548,22048992592,18261566,1679215460,0,0,0,0,1
1788862292,19,30748,3,11,96920189,76842710,22050218103,18262773,1680427005,0,0,0,0,1
1788862293,23,32176,3,11,96920385,76842873,22051553888,18264079,1681746538,0,0,0,0,1
1788862294,27,33468,3,11,96920583,76843036,22052814754,18265382,1682989726,0,0,0,0,1
1788862295,31,34888,3,11,96920782,76843199,22054166639,18266710,1684330340,0,0,0,0,1
1788862296,34,36152,3,11,96920981,76843362,22055438678,18268005,1685612973,0,0,0,0,1
1788862297,37,37440,3,11,96921179,76843526,22056746059,18269277,1686874595,0,0,0,0,1
1788862298,41,38760,3,11,96921378,76843691,22058057173,18270592,1688200456,0,0,0,0,1
1788862299,44,40120,3,11,96921574,76843854,22059365561,18271865,1689464376,0,0,0,0,1
1788862300,48,41416,3,11,96921772,76844017,22060656896,18273168,1690739993,0,0,0,0,1
1788862301,51,42656,3,11,96921970,76844180,22061874199,18274387,1691941934,0,0,0,0,1
1788862302,54,44000,3,11,96922167,76844342,22063229312,18275723,1693301705,0,0,0,0,1
1788862303,57,45304,3,11,96922360,76844504,22064495652,18276975,1694533731,0,0,0,0,1
1788862304,61,46668,3,11,96922558,76844667,22065856406,18278311,1695879062,0,0,0,0,1
1788862306,64,48020,3,11,96922755,76844830,22067130195,18279563,1697138196,0,0,0,0,1
1788862307,67,49316,3,11,96922955,76844995,22068452780,18280830,1698448258,0,0,0,0,1
1788862308,71,50652,3,11,96923152,76845158,22069751333,18282051,1699736472,0,0,0,0,1
1788862309,75,51908,3,11,96923350,76845320,22071019237,18283294,1700992538,0,0,0,0,1
1788862310,78,53304,3,11,96923544,76845482,22072288353,18284528,1702257066,0,0,0,0,1
1788862311,81,54496,3,11,96923741,76845644,22073536427,18285721,1703487167,0,0,0,0,1
1788862312,85,55892,3,11,96923939,76845806,22074900570,18287055,1704860181,0,0,0,0,1
1788862313,88,57228,3,11,96924136,76845970,22076202867,18288320,1706123672,0,0,0,0,1
1788862314,91,58524,3,11,96924336,76846133,22077506334,18289592,1707414393,0,0,0,0,1
1788862315,94,59872,3,11,96924532,76846296,22078798356,18290866,1708693414,0,0,0,0,1
1788862316,97,61212,3,11,96924728,76846458,22080089032,18292097,1709988484,0,0,0,0,1
1788862317,101,62476,3,11,96924923,76846622,22081378321,18293323,1711258875,0,0,0,0,1
1788862318,104,63796,3,11,96925121,76846786,22082675268,18294598,1712540796,0,0,0,0,1
1788862319,108,65056,3,11,96925318,76846949,22083919217,18295781,1713762746,0,0,0,0,1
1788862320,110,66476,3,11,96925514,76847111,22085228250,18297024,1715058930,0,0,0,0,1
1788862321,114,67740,3,11,96925709,76847273,22086526376,18298254,1716345187,0,0,0,0,1
1788862322,117,69048,3,11,96925905,76847436,22087822844,18299489,1717629080,0,0,0,0,1
1788862323,120,69392,3,11,96926104,76847600,22089060796,18300681,1718854512,0,0,0,0,1
