arm,inject,delay_b,k_ms,switches,max_switch_gap_ms,cc_errors,pcr_gt100ms,pcr_backward
a,blackout,0,100,9,239.6,0,0,0
a,blackout,0,250,1,298.4,4,1,0
a,blackout,0,50,225,242.2,0,0,0
a,blackout,0,500,1,539.5,4,1,0
a,delay200,0,100,33,239.9,51,13,13
a,delay200,0,250,1,300.1,4,1,0
a,delay200,0,50,254,240.8,59,14,16
a,delay200,0,500,0,0.0,0,0,0
a,delay50,0,100,9,241.9,0,0,0
a,delay50,0,250,0,0.0,0,0,0
a,delay50,0,50,234,240.7,16,0,0
a,delay50,0,500,0,0.0,0,0,0
a,killegress,0,100,7,240.6,0,0,0
a,killegress,0,250,1,298.3,4,1,0
a,killegress,0,50,231,242.1,0,0,0
a,killegress,0,500,1,539.2,4,1,0
a,killpub,0,100,7,241.7,0,0,0
a,killpub,0,250,1,298.8,4,1,0
a,killpub,0,50,211,241.5,0,0,0
a,killpub,0,500,1,540.0,4,1,0
a,killrelay,0,100,11,241.4,0,0,0
a,killrelay,0,250,1,298.5,4,1,0
a,killrelay,0,50,235,241.4,0,0,0
a,killrelay,0,500,1,539.7,4,1,0
a,loss1,0,100,24,242.2,8,0,0
a,loss1,0,250,0,0.0,27,0,0
a,loss1,0,50,417,242.2,7,0,0
a,loss1,0,500,0,0.0,27,0,0
a,loss3,0,100,18,241.7,103,0,0
a,loss3,0,250,0,0.0,170,0,0
a,loss3,0,50,448,242.1,85,0,0
a,loss3,0,500,0,0.0,170,0,0
a,none,20,100,24,242.3,85,0,0
a,none,20,250,0,0.0,0,0,0
a,none,20,50,426,242.3,543,0,0
a,none,20,500,0,0.0,0,0,0
a,none,0,100,13,240.9,0,0,0
a,none,0,250,0,0.0,0,0,0
a,none,0,50,446,241.1,0,0,0
a,none,0,500,0,0.0,0,0,0
a,none,0,100,20,241.7,0,0,0
a,none,0,250,0,0.0,0,0,0
a,none,0,50,432,241.7,0,0,0
a,none,0,500,0,0.0,0,0,0
a,none,0,100,12,241.5,0,0,0
a,none,0,250,0,0.0,0,0,0
a,none,0,50,413,242.4,0,0,0
a,none,0,500,0,0.0,0,0,0
a,termpub,0,100,13,241.0,0,0,0
a,termpub,0,250,1,298.8,4,1,0
a,termpub,0,50,227,241.5,0,0,0
a,termpub,0,500,1,540.2,4,1,0
b,blackout,0,100,1,100.3,3,18,0
b,blackout,0,250,1,252.1,4,18,0
b,blackout,0,50,1,50.6,1,18,0
b,blackout,0,500,1,500.1,4,18,0
b,delay50,0,100,0,0.0,0,19,0
b,delay50,0,250,0,0.0,0,19,0
b,delay50,0,50,1,50.5,0,18,0
b,delay50,0,500,0,0.0,0,19,0
b,killegress,0,100,1,101.6,3,19,0
b,killegress,0,250,1,251.4,4,19,0
b,killegress,0,50,1,51.9,1,19,0
b,killegress,0,500,1,500.2,4,19,0
b,killpub,0,100,1,101.9,1,16,0
b,killpub,0,250,1,251.3,1,16,0
b,killpub,0,50,1,51.1,1,15,0
b,killpub,0,500,1,501.3,3,15,0
b,killrelay,0,100,1,100.3,1,18,0
b,killrelay,0,250,1,250.5,1,18,0
b,killrelay,0,50,1,50.6,1,17,0
b,killrelay,0,500,1,500.0,3,17,0
b,loss1,0,100,0,0.0,45,19,0
b,loss1,0,250,0,0.0,45,19,0
b,loss1,0,50,0,0.0,45,19,0
b,loss1,0,500,0,0.0,45,19,0
b,loss3,0,100,0,0.0,144,19,0
b,loss3,0,250,0,0.0,144,19,0
b,loss3,0,50,0,0.0,144,19,0
b,loss3,0,500,0,0.0,144,19,0
b,none,20,100,0,0.0,0,20,0
b,none,20,250,0,0.0,0,20,0
b,none,20,50,0,0.0,0,20,0
b,none,20,500,0,0.0,0,20,0
b,none,0,100,0,0.0,0,16,0
b,none,0,250,0,0.0,0,16,0
b,none,0,50,0,0.0,0,16,0
b,none,0,500,0,0.0,0,16,0
b,quicloss_recover,0,100,1,102.0,1,17,0
b,quicloss_recover,0,250,1,251.3,1,17,0
b,quicloss_recover,0,50,1,51.3,1,16,0
b,quicloss_recover,0,500,1,501.1,3,16,0
b,termpub,0,100,1,102.0,1,18,0
b,termpub,0,250,1,252.1,1,18,0
b,termpub,0,50,1,51.3,1,17,0
b,termpub,0,500,1,501.9,3,17,0
c,blackout,0,100,1,100.2,3,16,0
c,blackout,0,250,1,252.1,4,16,0
c,blackout,0,50,1,51.5,3,16,0
c,blackout,0,500,1,502.1,4,16,0
c,delay10,0,100,0,0.0,0,16,0
c,delay10,0,250,0,0.0,0,16,0
c,delay10,0,50,0,0.0,0,16,0
c,delay10,0,500,0,0.0,0,16,0
c,delay200,0,100,1,102.9,3,15,0
c,delay200,0,250,0,0.0,0,15,0
c,delay200,0,50,1,52.0,3,15,0
c,delay200,0,500,0,0.0,0,15,0
c,delay50,0,100,0,0.0,0,16,0
c,delay50,0,250,0,0.0,0,16,0
c,delay50,0,50,0,0.0,0,16,0
c,delay50,0,500,0,0.0,0,16,0
c,loss1,0,100,0,0.0,42,16,0
c,loss1,0,250,0,0.0,42,16,0
c,loss1,0,50,0,0.0,42,16,0
c,loss1,0,500,0,0.0,42,16,0
c,loss3,0,100,0,0.0,147,17,0
c,loss3,0,250,0,0.0,147,17,0
c,loss3,0,50,0,0.0,147,17,0
c,loss3,0,500,0,0.0,147,17,0
c,none,0,100,0,0.0,0,17,0
c,none,0,250,0,0.0,0,17,0
c,none,0,50,0,0.0,0,17,0
c,none,0,500,0,0.0,0,17,0
d,none,0,100,0,0.0,0,23,0
d,none,0,250,0,0.0,0,23,0
d,none,0,50,0,0.0,0,23,0
d,none,0,500,0,0.0,0,23,0
d,none,20,100,0,0.0,0,27,0
d,none,20,250,0,0.0,0,27,0
d,none,20,50,0,0.0,0,27,0
d,none,20,500,0,0.0,0,27,0
d,quicloss_recover,0,100,1,101.3,3,23,0
d,quicloss_recover,0,250,1,250.9,4,23,0
d,quicloss_recover,0,50,1,51.4,3,23,0
d,quicloss_recover,0,500,1,501.1,4,23,0
d,killpub,0,100,1,101.7,2,23,0
d,killpub,0,250,1,251.0,4,23,0
d,killpub,0,50,1,51.9,3,23,0
d,killpub,0,500,1,501.9,4,23,0
d,termpub,0,100,1,102.5,2,23,0
d,termpub,0,250,1,252.6,4,23,0
d,termpub,0,50,1,52.6,3,23,0
d,termpub,0,500,1,502.4,4,23,0
d,killrelay,0,100,1,102.7,3,23,0
d,killrelay,0,250,1,252.8,4,23,0
d,killrelay,0,50,1,52.8,3,23,0
d,killrelay,0,500,1,502.7,4,23,0
d,killegress,0,100,1,101.1,2,24,0
d,killegress,0,250,1,251.5,3,24,0
d,killegress,0,50,1,51.5,3,23,0
d,killegress,0,500,1,501.4,3,24,0
d,blackout,0,100,1,102.2,1,24,0
d,blackout,0,250,1,252.9,1,24,0
d,blackout,0,50,1,52.5,1,23,0
d,blackout,0,500,1,500.4,1,24,0
d,loss1,0,100,0,0.0,131,23,0
d,loss1,0,250,0,0.0,131,23,0
d,loss1,0,50,0,0.0,131,23,0
d,loss1,0,500,0,0.0,131,23,0
d,loss3,0,100,0,0.0,320,23,0
d,loss3,0,250,0,0.0,320,23,0
d,loss3,0,50,0,0.0,320,23,0
d,loss3,0,500,0,0.0,320,23,0
d,delay50,0,100,0,0.0,0,23,0
d,delay50,0,250,0,0.0,0,23,0
d,delay50,0,50,1,50.8,1,23,0
d,delay50,0,500,0,0.0,0,23,0
