t_s,mbps_1_3s-bin-3529,mbps_2_3s-025613d,mbps_3_3s-0e61e35,alive
10,9.22,9.41,8.95,3
20,9.65,9.64,9.34,3
30,1.63,9.46,1.90,3
40,0.31,9.17,0.31,3
50,0.31,9.53,0.31,3
60,0.31,9.50,0.31,3
70,0.31,9.23,0.31,3
80,0.31,9.29,0.31,3
90,0.31,9.59,0.31,3
100,0.31,9.10,0.31,3
110,0.31,9.60,0.31,3
120,0.30,9.20,0.30,3
130,0.31,9.54,0.31,3
140,0.31,9.24,0.31,3
150,0.31,9.58,0.31,3
160,0.31,9.24,0.31,3
170,0.31,9.35,0.31,3
180,0.31,9.37,0.31,3
190,0.31,9.39,0.31,3
200,0.31,9.52,0.31,3
210,0.31,9.66,0.31,3
220,0.31,9.36,0.31,3
230,0.31,9.81,0.31,3
240,0.30,9.44,0.30,3
