t_s,mbps_1_3s-025613d,mbps_2_3s-0e61e35,mbps_3_3s-025613d,mbps_4_3s-0e61e35,alive
10,9.51,9.22,8.67,9.19,4
20,9.61,9.65,9.52,9.24,4
30,9.49,1.33,9.28,1.40,4
40,9.20,0.31,9.39,0.31,4
50,9.64,0.31,9.54,0.31,4
60,9.22,0.30,9.31,0.30,4
70,9.41,0.31,9.38,0.31,4
80,9.23,0.31,9.23,0.31,4
90,9.79,0.31,9.79,0.31,4
100,9.01,0.31,8.98,0.31,4
110,9.52,0.31,9.52,0.31,4
120,9.58,0.31,9.58,0.31,4
130,9.10,0.31,9.08,0.31,4
140,9.60,0.31,9.85,0.31,4
150,9.20,0.30,9.31,0.30,4
161,8.49,0.28,8.76,0.28,4
171,9.41,0.31,9.61,0.31,4
181,9.61,0.31,9.56,0.31,4
191,9.20,0.31,9.39,0.31,4
201,9.69,0.31,9.59,0.31,4
211,9.29,0.31,9.47,0.31,4
221,9.62,0.31,9.55,0.31,4
231,9.62,0.31,9.79,0.31,4
241,9.59,0.30,9.25,0.30,4
