t_s,mbps_1_3s-025613d,mbps_2_3s-0e61e35,alive
10,9.57,9.38,2
20,9.64,9.56,2
30,9.23,1.95,2
40,9.40,0.31,2
50,9.52,0.31,2
60,9.51,0.31,2
70,9.23,0.31,2
80,9.29,0.31,2
90,9.59,0.30,2
100,9.09,0.31,2
110,9.60,0.31,2
120,9.21,0.31,2
130,9.54,0.31,2
140,9.20,0.31,2
150,9.62,0.31,2
160,9.20,0.31,2
170,9.38,0.31,2
180,9.37,0.31,2
190,9.39,0.31,2
200,9.53,0.31,2
210,9.66,0.30,2
220,9.35,0.31,2
230,9.51,0.31,2
240,9.74,0.31,2
250,9.29,0.31,2
260,9.78,0.31,2
270,9.36,0.31,2
280,9.69,0.31,2
290,9.50,0.31,2
300,9.64,0.30,2
310,9.45,0.31,2
320,9.56,0.31,2
330,9.58,0.31,2
340,9.37,0.31,2
350,9.83,0.31,2
360,9.41,0.31,2
370,9.59,0.31,2
381,8.72,0.28,2
391,9.65,0.31,2
401,9.30,0.31,2
411,9.60,0.31,2
421,9.70,0.31,2
431,9.30,0.31,2
441,9.83,0.31,2
451,9.29,0.31,2
461,9.70,0.31,2
471,9.54,0.31,2
481,9.36,0.31,2
491,9.68,0.31,2
501,9.52,0.31,2
511,9.63,0.30,2
521,9.32,0.31,2
531,9.87,0.31,2
541,9.41,0.31,2
551,9.31,0.31,2
561,9.84,0.31,2
571,9.44,0.31,2
581,9.49,0.31,2
591,9.58,0.31,2
601,9.43,0.31,2
611,9.56,0.31,2
621,9.62,0.31,2
631,9.65,0.30,2
641,9.31,0.31,2
651,9.80,0.31,2
661,9.44,0.31,2
671,9.58,0.31,2
681,9.55,0.31,2
691,9.51,0.31,2
701,9.44,0.31,2
711,9.68,0.31,2
721,9.65,0.30,2
731,9.25,0.31,2
741,9.89,0.31,2
751,9.47,0.31,2
761,9.46,0.31,2
771,9.56,0.31,2
781,9.49,0.31,2
791,9.55,0.31,2
801,9.51,0.31,2
811,9.77,0.31,2
821,9.29,0.31,2
831,9.76,0.31,2
841,9.48,0.30,2
851,9.35,0.31,2
861,9.73,0.31,2
871,9.52,0.31,2
