t_s,mbps_1_500ms-bin-merged,mbps_2_500ms-bin-3515,mbps_3_3s-bin-merged,mbps_4_3s-bin-3515,alive
10,8.30,8.30,9.49,8.94,4
20,9.54,9.54,9.53,10.06,4
30,9.75,9.75,9.50,9.00,4
40,9.52,9.52,9.72,9.39,4
50,9.81,9.57,9.60,9.59,4
60,9.53,9.77,9.53,9.77,4
70,9.71,9.37,9.45,9.48,4
80,9.48,9.81,9.74,9.47,4
90,9.48,9.48,9.47,9.77,4
100,9.91,9.90,9.56,9.61,4
110,9.42,9.42,9.76,9.42,4
120,9.70,9.47,9.47,9.47,4
130,9.60,9.77,9.46,9.76,4
140,9.56,9.61,9.66,9.61,4
150,9.86,9.86,9.66,9.62,4
160,9.43,9.44,9.60,9.36,4
170,9.56,9.51,9.47,9.48,4
180,9.74,9.80,9.90,9.95,4
190,9.74,9.51,9.38,9.33,4
200,9.45,9.54,9.53,9.67,4
210,9.72,9.86,9.35,9.44,4
220,9.48,9.48,9.72,9.70,4
230,9.71,9.49,9.50,9.30,4
240,9.50,9.72,9.67,9.66,4
250,9.73,9.55,9.44,9.68,4
260,9.60,9.55,9.64,9.40,4
270,9.58,9.81,9.54,9.59,4
280,9.67,9.67,9.49,9.88,4
290,9.59,9.59,9.69,9.38,4
300,9.85,9.85,9.56,9.68,4
310,9.22,9.23,9.46,9.39,4
320,9.95,9.75,9.70,9.71,4
330,9.54,9.74,9.34,9.55,4
340,9.37,9.37,9.80,9.39,4
350,9.77,9.77,9.67,9.79,4
360,9.83,9.77,9.63,9.69,4
370,9.56,9.33,9.38,9.32,4
380,9.60,9.90,9.69,9.57,4
390,9.51,9.50,9.40,9.58,4
400,9.53,9.53,9.69,9.51,4
410,9.80,9.58,9.52,9.52,4
420,9.39,9.61,9.56,9.70,4
431,9.00,8.73,8.61,8.70,4
441,9.38,9.67,9.37,9.38,4
451,9.52,9.51,9.90,9.65,4
461,10.05,10.05,9.50,9.50,4
471,9.32,9.32,9.50,9.78,4
481,9.63,9.33,9.35,9.41,4
491,9.61,9.76,9.72,9.60,4
501,9.70,9.84,9.60,9.60,4
511,9.70,9.47,9.70,9.47,4
521,9.45,9.68,9.45,9.84,4
531,9.62,9.62,9.55,9.41,4
541,9.69,9.68,9.54,9.52,4
551,9.47,9.47,9.68,9.84,4
561,9.88,9.62,9.59,9.46,4
571,9.42,9.67,9.45,9.69,4
581,9.49,9.49,9.42,9.53,4
591,9.77,9.76,9.86,9.74,4
601,9.40,1.20,9.26,1.18,4
611,9.41,0.31,9.56,0.31,4
621,9.90,0.31,9.61,0.31,4
631,9.41,0.31,9.76,0.31,4
641,9.64,0.31,9.46,0.31,4
651,9.64,0.31,9.75,0.31,4
661,9.57,0.31,9.48,0.31,4
671,9.70,0.31,9.67,0.31,4
681,9.70,0.31,9.54,0.31,4
691,9.50,0.31,9.72,0.31,4
701,9.59,0.31,9.58,0.31,4
711,9.67,0.31,9.51,0.31,4
721,9.40,0.31,9.89,0.31,4
731,9.84,0.31,9.61,0.31,4
741,9.65,0.31,9.38,0.31,4
751,9.52,0.31,9.57,0.31,4
761,9.48,0.31,9.64,0.31,4
771,9.78,0.31,9.78,0.31,4
781,9.74,0.31,9.73,0.31,4
791,9.51,0.31,9.63,0.31,4
801,9.35,0.31,9.64,0.31,4
811,9.88,0.31,9.30,0.31,4
821,9.62,0.31,9.55,0.31,4
831,9.69,0.31,9.77,0.31,4
841,9.48,0.31,9.47,0.31,4
851,9.65,0.31,9.56,0.31,4
861,9.61,0.31,9.82,0.31,4
871,9.73,0.31,9.71,0.31,4
881,9.41,0.31,9.50,0.31,4
892,8.74,0.28,8.82,0.28,4
902,9.74,0.31,9.58,0.31,4
912,9.57,0.31,9.67,0.31,4
